code,name
'252670,KODEX 200선물인버스2X
'122630,KODEX 레버리지
'096530,씨젠
'005930,삼성전자
'091990,셀트리온헬스케어
'069500,KODEX 200
'261220,KODEX WTI원유선물(H)
'000660,SK하이닉스
'032850,비트컴퓨터
'065450,빅텍
'530036,삼성 인버스 2X WTI원유 선물 ETN
'207940,삼성바이오로직스
'251340,KODEX 코스닥150선물인버스
'114800,KODEX 인버스
'180640,한진칼
'005380,현대차
'233740,KODEX 코스닥150 레버리지
'066700,테라젠이텍스
'005690,파미셀
'068270,셀트리온
'064350,현대로템
'025980,아난티
'006400,삼성SDI
'069620,대웅제약
'078130,국일제지
'019170,신풍제약
'253840,수젠텍
'000020,동화약품
'245620,EDGC
'051910,LG화학
'008600,윌비스
'015760,한국전력
'035720,카카오
'206640,바디텍메드
'278650,노터스
'035420,NAVER
'020560,아시아나항공
'011000,진원생명과학
'003000,부광약품
'009150,삼성전기
'130680,TIGER 원유선물Enhanced(H)
'059090,미코
'900250,크리스탈신소재
'079940,가비아
'051900,LG생활건강
'017670,SK텔레콤
'271050,KODEX WTI원유선물인버스(H)
'036570,엔씨소프트
'008350,남선알미늄
'086900,메디톡스
'053980,오상자이엘
'500019,신한 레버리지 WTI원유 선물 ETN(H)
'097230,한진중공업
'500027,신한 인버스 2X WTI원유 선물 ETN(H)
'198440,고려시멘트
'005490,POSCO
'068760,셀트리온제약
'005935,삼성전자우
'013810,스페코
'012330,현대모비스
'096770,SK이노베이션
'071200,인피니트헬스케어
'000270,기아차
'092040,아미코젠
'065170,넥스트BT
'026890,디피씨
'003410,쌍용양회
'044960,이글벳
'036540,SFA반도체
'043910,자연과환경
'097780,에스맥
'052670,제일바이오
'131370,알서포트
'000720,현대건설
'061250,화일약품
'032500,케이엠더블유
'105560,KB금융
'102940,코오롱생명과학
'007390,네이처셀
'026150,특수건설
'108230,톱텍
'028300,에이치엘비
'004980,성신양회
'034730,SK
'046940,우원개발
'003090,대웅
'229200,KODEX 코스닥 150
'033230,인성정보
'003480,한진중공업홀딩스
'084650,랩지노믹스
'028260,삼성물산
'032640,LG유플러스
'003490,대한항공
'010950,S-Oil
'000210,대림산업
'001060,JW중외제약
'215600,신라젠
'008770,호텔신라
'004170,신세계
'122260,KOSEF 통안채1년
'031510,오스템
'009540,한국조선해양
'001260,남광토건
'336370,두산솔루스
'032620,유비케어
'055550,신한지주
'086790,하나금융지주
'017890,한국알콜
'001840,이화공영
'033780,KT&G
'066570,LG전자
'200780,비씨월드제약
'037950,엘컴텍
'090430,아모레퍼시픽
'272560,KBSTAR 단기국공채액티브
'017800,현대엘리베이
'000990,DB하이텍
'012690,모나리자
'032680,소프트센
'030200,KT
'011170,롯데케미칼
'047810,한국항공우주
'006390,한일현대시멘트
'263690,디알젬
'028100,동아지질
'205470,휴마시스
'011070,LG이노텍
'102110,TIGER 200
'253450,스튜디오드래곤
'084990,헬릭스미스
'095700,제넥신
'157450,TIGER 단기통안채
'252710,TIGER 200선물인버스2X
'088980,맥쿼리인프라
'023900,풍국주정
'041920,메디아나
'065950,웰크론
'230240,에치에프알
'200230,텔콘RF제약
'010140,삼성중공업
'012450,한화에어로스페이스
'038500,삼표시멘트
'064550,바이오니아
'034220,LG디스플레이
'032830,삼성생명
'018260,삼성에스디에스
'045390,대아티아이
'263700,케어랩스
'011790,SKC
'024110,기업은행
'080720,한국유니온제약
'039860,나노엔텍
'094940,푸른기술
'267850,아시아나IDT
'294140,레몬
'009730,코센
'078590,두올산업
'242040,나무기술
'020150,일진머티리얼즈
'290650,엘앤씨바이오
'247540,에코프로비엠
'011390,부산산업
'237690,에스티팜
'268600,셀리버리
'139260,TIGER 200 IT
'090350,노루페인트
'007110,일신석재
'019590,엠벤처투자
'251270,넷마블
'289080,SV인베스트먼트
'091590,남화토건
'000810,삼성화재
'034020,두산중공업
'033640,네패스
'196170,알테오젠
'028050,삼성엔지니어링
'241820,피씨엘
'258610,이더블유케이
'035250,강원랜드
'048530,인트론바이오
'073490,이노와이어리스
'139480,이마트
'271560,오리온
'235980,메드팩토
'214870,뉴지랩
'218410,RFHIC
'192650,드림텍
'004020,현대제철
'006650,대한유화
'041960,코미팜
'002320,한진
'006360,GS건설
'083550,케이엠
'260660,알리코제약
'041190,우리기술투자
'058110,멕아이씨에스
'278530,KODEX 200TR
'003670,포스코케미칼
'031430,신세계인터내셔날
'148020,KBSTAR 200
'009830,한화솔루션
'303030,지니틱스
'067160,아프리카TV
'316140,우리금융지주
'082270,젬백스
'010960,삼호개발
'102710,이엔에프테크놀로지
'183490,엔지켐생명과학
'012280,영화금속
'040910,아이씨디
'054780,키이스트
'084850,아이티엠반도체
'083790,크리스탈
'006280,녹십자
'279530,KODEX 고배당
'086280,현대글로비스
'019175,신풍제약우
'010820,퍼스텍
'285130,SK케미칼
'034230,파라다이스
'000100,유한양행
'024740,한일단조
'241560,두산밥캣
'010130,고려아연
'011320,유니크
'009420,한올바이오파마
'078930,GS
'035610,솔본
'017180,명문제약
'003550,LG
'097950,CJ제일제당
'060590,씨티씨바이오
'047820,초록뱀
'023410,유진기업
'018290,브이티지엠피
'046440,KG모빌리언스
'065530,전파기지국
'003060,에이프로젠제약
'010170,대한광통신
'069460,대호에이엘
'204320,만도
'013700,까뮤이앤씨
'228850,레이언스
'246690,TS인베스트먼트
'294870,HDC현대산업개발
'950130,엑세스바이오
'011150,CJ씨푸드
'033180,필룩스
'010660,화천기계
'267250,현대중공업지주
'103140,풍산
'298380,에이비엘바이오
'002720,국제약품
'006800,미래에셋대우
'016360,삼성증권
'007370,진양제약
'115450,지트리비앤티
'204270,제이앤티씨
'001740,SK네트웍스
'042670,두산인프라코어
'036460,한국가스공사
'035760,CJ ENM
'005830,DB손해보험
'293780,압타바이오
'023530,롯데쇼핑
'021240,코웨이
'005110,한창
'025320,시노펙스
'272210,한화시스템
'200710,에이디테크놀로지
'222080,씨아이에스
'064260,다날
'068330,일신바이오
'030000,제일기획
'036170,라이브파이낸셜
'088350,한화생명
'051160,지어소프트
'000120,CJ대한통운
'012510,더존비즈온
'140410,메지온
'192080,더블유게임즈
'115480,씨유메디칼
'236200,슈프리마
'092190,서울바이오시스
'067630,에이치엘비생명과학
'137940,넥스트아이
'081660,휠라홀딩스
'005290,동진쎄미켐
'032800,판타지오
'000080,하이트진로
'050890,쏠리드
'033340,좋은사람들
'225530,보광산업
'106240,파인테크닉스
'071050,한국금융지주
'141080,레고켐바이오
'128940,한미약품
'187420,제노포커스
'097520,엠씨넥스
'298690,에어부산
'011780,금호석유
'101490,에스앤에스텍
'088800,에이스테크
'001450,현대해상
'300720,한일시멘트
'052260,SK바이오랜드
'000250,삼천당제약
'145020,휴젤
'215790,이노인스트루먼트
'005940,NH투자증권
'085660,차바이오텍
'214430,아이쓰리시스템
'005385,현대차우
'500005,신한 인버스 브렌트원유 선물 ETN(H)
'078340,컴투스
'007660,이수페타시스
'241520,DSC인베스트먼트
'240810,원익IPS
'183190,아세아시멘트
'036830,솔브레인
'018880,한온시스템
'148150,세경하이테크
'078070,유비쿼스홀딩스
'024060,흥구석유
'232080,TIGER 코스닥150
'066590,우수AMS
'152100,ARIRANG 200
'060250,NHN한국사이버결제
'263750,펄어비스
'002790,아모레G
'052020,에스티큐브
'084680,이월드
'123040,엠에스오토텍
'214680,디알텍
'007570,일양약품
'038290,마크로젠
'007700,F&F
'178920,SKC코오롱PI
'305090,마이크로디지탈
'010620,현대미포조선
'041930,동아화성
'062970,피피아이
'033540,파라텍
'228760,지노믹트리
'090460,비에이치
'222800,심텍
'089590,제주항공
'002410,범양건영
'087010,펩트론
'039030,이오테크닉스
'086390,유니테스트
'060720,KH바텍
'267770,TIGER 200선물레버리지
'009320,대우부품
'161390,한국타이어앤테크놀로지
'144510,녹십자랩셀
'137400,피엔티
'329200,TIGER 부동산인프라고배당
'120110,코오롱인더
'086450,동국제약
'100120,뷰웍스
'005870,휴니드
'070300,엑스큐어
'017960,한국카본
'105190,KINDEX 200
'215380,우정바이오
'004370,농심
'138080,오이솔루션
'002100,경농
'053950,경남제약
'226330,신테카바이오
'001820,삼화콘덴서
'191410,육일씨엔에쓰
'138930,BNK금융지주
'125210,아모그린텍
'042660,대우조선해양
'009240,한샘
'047310,파워로직스
'060370,KT서브마린
'009460,한창제지
'058820,CMG제약
'330590,롯데리츠
'000880,한화
'002380,KCC
'045060,오공
'178320,서진시스템
'131390,피앤이솔루션
'187870,디바이스이엔지
'069960,현대백화점
'074600,원익QnC
'058530,슈펙스비앤피
'299900,위지윅스튜디오
'267320,나인테크
'099350,하나니켈2호
'035620,바른손이앤에이
'336260,두산퓨얼셀
'194700,노바렉스
'151860,KG ETS
'002150,도화엔지니어링
'046890,서울반도체
'143850,TIGER 미국S&P500선물(H)
'122870,와이지엔터테인먼트
'079650,서산
'096630,에스코넥
'053030,바이넥스
'079550,LIG넥스원
'004430,송원산업
'035600,KG이니시스
'027830,대성창투
'192820,코스맥스
'174900,앱클론
'041510,에스엠
'001040,CJ
'109820,진매트릭스
'067570,엔브이에이치코리아
'250780,TIGER 코스닥150선물인버스
'025560,미래산업
'047040,대우건설
'011210,현대위아
'035900,JYP Ent.
'058400,KNN
'003520,영진약품
'003620,쌍용차
'058450,일야
'321550,티움바이오
'030520,한글과컴퓨터
'213420,덕산네오룩스
'252420,KBSTAR 200선물인버스2X
'011200,HMM
'023150,MH에탄올
'142760,바이오리더스
'036420,제이콘텐트리
'089030,테크윙
'007460,에이프로젠 KIC
'039490,키움증권
'216080,제테마
'004650,창해에탄올
'098460,고영
'033270,유나이티드제약
'042510,라온시큐어
'051915,LG화학우
'108320,실리콘웍스
'123690,한국화장품
'131970,테스나
'008560,메리츠증권
'004990,롯데지주
'074610,나노메딕스
'010060,OCI
'013890,지누스
'123320,TIGER 레버리지
'065660,안트로젠
'010600,웰바이오텍
'233160,TIGER 코스닥150 레버리지
'048550,SM C&C
'091810,티웨이항공
'207760,미스터블루
'038070,서린바이오
'004140,동방
'181710,NHN
'263050,유틸렉스
'214320,이노션
'001360,삼성제약
'099750,이지케어텍
'003230,삼양식품
'095660,네오위즈
'068240,다원시스
'319660,피에스케이
'142280,녹십자엠에스
'054940,엑사이엔씨
'057030,YBM넷
'215200,메가스터디교육
'053800,안랩
'009410,태영건설
'004770,써니전자
'033250,체시스
'282880,코윈테크
'161890,한국콜마
'069080,웹젠
'031390,녹십자셀
'058470,리노공업
'086520,에코프로
'005387,현대차2우B
'012750,에스원
'050110,캠시스
'079160,CJ CGV
'214180,민앤지
'130730,KOSEF 단기자금
'095610,테스
'007070,GS리테일
'000885,한화우
'008060,대덕전자
'272450,진에어
'091700,파트론
'038540,상상인
'089010,켐트로닉스
'048410,현대바이오
'044340,위닉스
'308170,센트랄모텍
'086040,바이오톡스텍
'217730,강스템바이오텍
'006060,화승인더
'083930,아바코
'021050,서원
'132030,KODEX 골드선물(H)
'061970,엘비세미콘
'219390,KBSTAR 미국S&P원유생산기업(합성 H)
'065680,우주일렉트로
'000910,유니온
'017550,수산중공업
'099340,하나니켈1호
'065130,탑엔지니어링
'009270,신원
'203690,프로스테믹스
'133750,메가엠디
'047050,포스코인터내셔널
'014990,인디에프
'293580,나우IB
'006260,LS
'045520,크린앤사이언스
'028670,팬오션
'048910,대원미디어
'084370,유진테크
'179900,유티아이
'084110,휴온스글로벌
'007980,태평양물산
'042940,상지카일룸
'090355,노루페인트우
'243070,휴온스
'122310,제노레이
'005950,이수화학
'039200,오스코텍
'081000,일진다이아
'060150,인선이엔티
'029780,삼성카드
'008490,서흥
'270870,뉴트리
'054930,유신
'001390,KG케미칼
'051905,LG생활건강우
'014680,한솔케미칼
'255220,SG
'093370,후성
'126700,하이비젼시스템
'027050,코리아나
'121800,비덴트
'043200,파루
'253160,ARIRANG 200선물인버스2X
'003580,넥스트사이언스
'014790,한라
'208370,셀바스헬스케어
'238120,로고스바이오
'201490,미투온
'293180,HANARO 200
'114090,GKL
'004985,성신양회우
'017510,세명전기
'039610,화성밸브
'200670,휴메딕스
'004800,효성
'051600,한전KPS
'000150,두산
'045660,에이텍
'322000,현대에너지솔루션
'006050,국영지앤엠
'060560,홈센타홀딩스
'005430,한국공항
'198080,엔피디
'006920,모헨즈
'123310,TIGER 인버스
'068290,삼성출판사
'115570,스타플렉스
'036490,SK머티리얼즈
'029960,코엔텍
'067990,도이치모터스
'095190,이엠코리아
'302550,리메드
'520009,미래에셋 레버리지 원유선물혼합 ETN(H)
'265520,AP시스템
'013000,세우글로벌
'066910,손오공
'099410,동방선기
'234340,세틀뱅크
'278280,천보
'082800,루미마이크로
'066970,엘앤에프
'052420,오성첨단소재
'290720,푸드나무
'18064K,한진칼우
'239610,에이치엘사이언스
'033500,동성화인텍
'093320,케이아이엔엑스
'072470,우리산업홀딩스
'004920,씨아이테크
'228670,레이
'192090,TIGER 차이나CSI300
'001520,동양
'003850,보령제약
'243840,신흥에스이씨
'102120,어보브반도체
'289010,아이스크림에듀
'006120,SK디스커버리
'040300,YTN
'272290,이녹스첨단소재
'005070,코스모신소재
'001120,LG상사
'344820,케이씨씨글라스
'241590,화승엔터프라이즈
'027740,마니커
'060230,이그잭스
'056190,에스에프에이
'203650,드림시큐리티
'119860,다나와
'000890,보해양조
'166090,하나머티리얼즈
'099320,쎄트렉아이
'002210,동성제약
'088290,이원컴포텍
'078150,HB테크놀러지
'064290,인텍플러스
'099220,SDN
'185750,종근당
'003350,한국화장품제조
'001470,삼부토건
'010120,LS ELECTRIC
'133690,TIGER 미국나스닥100
'100590,머큐리
'100660,서암기계공업
'127120,디엔에이링크
'004000,롯데정밀화학
'230360,에코마케팅
'003010,혜인
'028150,GS홈쇼핑
'005300,롯데칠성
'021320,KCC건설
'104480,티케이케미칼
'261250,KODEX 미국달러선물레버리지
'200130,콜마비앤에이치
'061040,알에프텍
'267270,현대건설기계
'126880,제이엔케이히터
'500015,신한 WTI원유 선물 ETN(H)
'021880,메이슨캐피탈
'067000,조이시티
'048260,오스템임플란트
'144600,KODEX 은선물(H)
'027360,아주IB투자
'039560,다산네트웍스
'237880,클리오
'005420,코스모화학
'068940,아이씨케이
'001680,대상
'006980,우성사료
'139130,DGB금융지주
'300120,라온피플
'014160,대영포장
'118990,모트렉스
'087260,모바일어플라이언스
'004870,티웨이홀딩스
'002020,코오롱
'500032,신한 인버스 2X 천연가스 선물 ETN(H)
'009450,경동나비엔
'064760,티씨케이
'007680,대원
'039440,에스티아이
'037270,YG PLUS
'119500,포메탈
'001630,종근당홀딩스
'067900,와이엔텍
'054620,APS홀딩스
'282330,BGF리테일
'042000,카페24
'006405,삼성SDI우
'083500,에프엔에스테크
'305540,TIGER 2차전지테마
'008930,한미사이언스
'039130,하나투어
'214150,클래시스
'143240,사람인에이치알
'256940,케이피에스
'026940,부국철강
'290380,대유
'012630,HDC
'122990,와이솔
'016380,KG동부제철
'215360,우리산업
'002990,금호산업
'111710,남화산업
'036120,SCI평가정보
'225430,케이엠제약
'001550,조비
'078160,메디포스트
'001340,백광산업
'012610,경인양행
'069260,휴켐스
'005320,국동
'008970,동양철관
'520011,미래에셋 인버스 원유선물혼합 ETN(H)
'278540,KODEX MSCI Korea TR
'530038,삼성 인버스 2X 천연가스 선물 ETN
'086060,진바이오텍
'053590,한국테크놀로지
'214450,파마리서치프로덕트
'136480,하림
'500029,신한 레버리지 은 선물 ETN(H)
'001800,오리온홀딩스
'214310,세미콘라이트
'550043,QV 인버스 레버리지 WTI원유 선물 ETN(H)
'067170,오텍
'078600,대주전자재료
'290510,코리아센터
'306040,에스제이그룹
'161580,필옵틱스
'226950,올릭스
'298000,효성화학
'214420,토니모리
'090080,평화산업
'094360,칩스앤미디어
'008730,율촌화학
'042520,한스바이오메드
'115180,큐리언트
'067390,아스트
'039840,디오
'185490,아이진
'032350,롯데관광개발
'086820,바이오솔루션
'083450,GST
'131760,파인텍
'006620,동구바이오제약
'031820,콤텍시스템
'124500,아이티센
'189300,인텔리안테크
'004540,깨끗한나라
'004410,서울식품
'060900,케이알피앤이
'005860,한일사료
'101400,엔시트론
'090435,아모레퍼시픽우
'086250,이노와이즈
'150840,인트로메딕
'003690,코리안리
'000060,메리츠화재
'112040,위메이드
'005880,대한해운
'011760,현대상사
'042500,링네트
'014570,고려제약
'216050,인크로스
'024810,이화전기
'500031,신한 레버리지 천연가스 선물 ETN(H)
'264450,유비쿼스
'025860,남해화학
'143860,TIGER 헬스케어
'111770,영원무역
'080160,모두투어
'056360,코위버
'018700,바른손
'007310,오뚜기
'002700,신일전자
'256840,한국비엔씨
'204480,TIGER 차이나CSI300레버리지(합성)
'030190,NICE평가정보
'500004,신한 브렌트원유 선물 ETN(H)
'263720,디앤씨미디어
'142210,유니트론텍
'000390,삼화페인트
'005180,빙그레
'025870,신라에스지
'067010,이씨에스
'071840,롯데하이마트
'256150,한독크린텍
'182400,엔케이맥스
'208340,파멥신
'018680,서울제약
'299660,셀리드
'041910,에스텍파마
'052710,아모텍
'206650,유바이오로직스
'043340,에쎈테크
'33637L,두산솔루스2우B
'274090,켄코아에어로스페이스
'072020,중앙백신
'042370,비츠로테크
'192440,슈피겐코리아
'224060,코디엠
'067290,JW신약
'041830,인바디
'225040,TIGER 미국S&P500레버리지(합성 H)
'081150,티플랙스
'007810,코리아써키트
'020000,한섬
'036200,유니셈
'005440,현대그린푸드
'024720,한국콜마홀딩스
'030530,원익홀딩스
'267980,매일유업
'063440,SM Life Design
'002350,넥센타이어
'064820,케이프
'094280,효성ITX
'067310,하나마이크론
'073240,금호타이어
'118000,우리들휴브레인
'33637K,두산솔루스1우
'115390,락앤락
'018250,애경산업
'290660,네오펙트
'033050,제이엠아이
'089980,상아프론테크
'023590,다우기술
'154030,아시아종묘
'079430,현대리바트
'095720,웅진씽크빅
'002800,신신제약
'530065,삼성 S&P500 VIX S/T 선물 ETN(H) B
'570023,TRUE 인버스 2X S&P500 선물 ETN(H)
'100700,세운메디칼
'025440,대성엘텍
'267260,현대일렉트릭
'121600,나노신소재
'005250,녹십자홀딩스
'016250,이테크건설
'166480,코아스템
'530037,삼성 레버리지 천연가스 선물 ETN
'015540,쎌마테라퓨틱스
'057880,필로시스헬스케어
'101160,월덱스
'148140,비디아이
'073560,우리손에프앤지
'057050,현대홈쇼핑
'273130,KODEX 종합채권(AA-이상)액티브
'014970,삼륭물산
'066980,브레인콘텐츠
'000815,삼성화재우
'288620,에스퓨얼셀
'038870,에코바이오
'182360,큐브엔터
'016670,포비스티앤씨
'204630,화이브라더스코리아
'005850,에스엘
'298050,효성첨단소재
'195870,해성디에스
'206560,덱스터
'092730,네오팜
'170790,파이오링크
'073070,에스모
'000670,영풍
'035890,서희건설
'114450,KPX생명과학
'190650,코리아에셋투자증권
'070960,용평리조트
'140860,파크시스템스
'005360,모나미
'014580,태경비케이
'006490,인스코비
'009520,포스코엠텍
'053580,웹케시
'530055,삼성 레버리지 금 선물 ETN(H)
'001440,대한전선
'032685,소프트센우
'117670,알파홀딩스
'022100,포스코 ICT
'036800,나이스정보통신
'078520,에이블씨엔씨
'038680,에스넷
'200470,에이팩트
'195500,마니커에프앤지
'043220,에이치엘비파워
'018620,우진비앤지
'175250,아이큐어
'244460,올리패스
'025540,한국단자
'077500,유니퀘스트
'001510,SK증권
'050860,아세아텍
'500028,신한 인버스 2X 다우존스지수 선물 ETN(H)
'130500,GH신소재
'064960,S&T모티브
'213500,한솔제지
'067080,대화제약
'018670,SK가스
'272550,삼양패키징
'334690,KBSTAR 팔라듐선물(H)
'036630,세종텔레콤
'103840,우양
'318010,팜스빌
'00680K,미래에셋대우2우B
'054670,대한뉴팜
'170900,동아에스티
'102280,쌍방울
'052460,아이크래프트
'072520,제넨바이오
'205100,엑셈
'088260,이리츠코크렙
'011280,태림포장
'095340,ISC
'003560,IHQ
'066430,와이오엠
'048470,대동스틸
'215100,로보로보
'238090,앤디포스
'093050,LF
'033100,제룡전기
'036810,에프에스티
'049950,미래컴퍼니
'051370,인터플렉스
'003240,태광산업
'120240,대정화금
'021080,에이티넘인베스트
'035150,백산
'006840,AK홀딩스
'060260,뉴보텍
'237820,플레이디
'570044,TRUE 인버스 2X 나스닥 100 ETN
'083310,엘오티베큠
'010780,아이에스동서
'039830,오로라
'307950,현대오토에버
'057540,옴니시스템
'046970,우리로
'195990,에이비프로바이오
'046120,오르비텍
'217270,넵튠
'063160,종근당바이오
'038530,골드퍼시픽
'530013,삼성 KTOP30 ETN
'145720,덴티움
'217780,TIGER 차이나CSI300인버스(합성)
'298040,효성중공업
'040350,큐로컴
'017810,풀무원
'031860,엔에스엔
'108670,LG하우시스
'314250,KODEX 미국FANG플러스(H)
'136540,윈스
'337120,KODEX Fn멀티팩터
'131090,시큐브
'112610,씨에스윈드
'036930,주성엔지니어링
'004720,우리들제약
'049480,오픈베이스
'035810,이지바이오
'072130,유엔젤
'317330,덕산테코피아
'097800,윈팩
'230980,솔트웍스
'153130,KODEX 단기채권
'065060,지엔코
'148070,KOSEF 국고채10년
'155650,와이엠씨
'500045,신한 S&P500 VIX S/T 선물 ETN B
'217770,TIGER 원유선물인버스(H)
'305720,KODEX 2차전지산업
'009155,삼성전기우
'072770,율호
'251350,KODEX 선진국MSCI World
'190510,나무가
'170030,현대공업
'243880,TIGER 200IT레버리지
'500037,신한 레버리지 금 선물 ETN
'302430,이노메트리
'082920,비츠로셀
'002900,동양물산
'900140,엘브이엠씨홀딩스
'005500,삼진제약
'017040,광명전기
'001430,세아베스틸
'214270,퓨쳐스트림네트웍스
'091580,상신이디피
'317120,라닉스
'570043,TRUE 레버리지 나스닥 100 ETN
'026960,동서
'232140,와이아이케이
'004310,현대약품
'013360,일성건설
'073110,엘엠에스
'020180,대신정보통신
'052690,한전기술
'027410,BGF
'058730,다스코
'004835,덕성우
'033830,티비씨
'089600,나스미디어
'004090,한국석유
'151910,나노스
'012700,리드코프
'042700,한미반도체
'014530,극동유화
'253230,KOSEF 200선물인버스2X
'03473K,SK우
'034120,SBS
'281820,케이씨텍
'293940,신한알파리츠
'295000,KBSTAR 국채선물10년
'510001,대신 WTI원유 선물 ETN(H)
'012160,영흥
'056000,네스엠
'009290,광동제약
'288330,브릿지바이오테라퓨틱스
'241840,에이스토리
'031310,아이즈비전
'226490,KODEX 코스피
'033290,코웰패션
'127160,매직마이크로
'091340,S&K폴리텍
'196490,디에이테크놀로지
'044480,경남바이오파마
'311690,천랩
'520010,미래에셋 원유선물혼합 ETN(H)
'294630,서남
'007210,벽산
'007820,에스엠코어
'104830,원익머트리얼즈
'071055,한국금융지주우
'058630,엠게임
'900300,오가닉티코스메틱
'001230,동국제강
'094800,맵스리얼티1
'000050,경방
'034830,한국토지신탁
'286940,롯데정보통신
'002360,SH에너지화학
'002070,남영비비안
'004710,한솔테크닉스
'157490,TIGER 소프트웨어
'066575,LG전자우
'023160,태광
'025620,제이준코스메틱
'005390,신성통상
'000070,삼양홀딩스
'253150,ARIRANG 200선물레버리지
'084180,수성
'071280,로체시스템즈
'257370,명성티엔에스
'317850,대모
'266420,KODEX 헬스케어
'047920,메디포럼제약
'010040,한국내화
'053110,소리바다
'137950,제이씨케미칼
'215480,토박스코리아
'246710,티앤알바이오팹
'003415,쌍용양회우
'099190,아이센스
'234690,녹십자웰빙
'308100,까스텔바작
'041140,넥슨지티
'500020,신한 레버리지 다우존스지수 선물 ETN(H)
'090710,휴림로봇
'123010,아이에이네트웍스
'000220,유유제약
'082210,옵트론텍
'177830,파버나인
'066310,큐에스아이
'043150,바텍
'003380,하림지주
'290670,대보마그네틱
'900340,윙입푸드
'530061,삼성 레버리지 은 선물 ETN(H)
'065370,위세아이텍
'009190,대양금속
'261240,KODEX 미국달러선물
'263600,덕우전자
'105630,한세실업
'126560,현대에이치씨엔
'152500,KINDEX 레버리지
'047400,유니온머티리얼
'079960,동양이엔피
'037070,파세코
'017650,대림제지
'217820,엔에스
'051500,CJ프레시웨이
'115440,우리넷
'009620,삼보산업
'063080,게임빌
'304940,KODEX 미국나스닥100선물(H)
'003540,대신증권
'263920,블러썸엠앤씨
'000155,두산우
'054050,농우바이오
'094170,동운아나텍
'036030,KTH
'015750,성우하이텍
'091160,KODEX 반도체
'032820,우리기술
'065440,이루온
'093230,이아이디
'053210,스카이라이프
'009470,삼화전기
'054450,텔레칩스
'099440,스맥
'068930,디지털대성
'259630,엠플러스
'210980,SK디앤디
'013990,아가방컴퍼니
'298020,효성티앤씨
'138610,나이벡
'030610,교보증권
'019210,와이지-원
'036690,코맥스
